netid,stress1,stress2,stress3,stress4,stress5,stressavg,excitement1,excitement2,excitement3,excitement4,excitementavg,confidence1,confidence2,confidence3,confidence4,confidenceavg,time1,time2,time3,time4,timeavg,interest,career,
aii4,3,1,2,,2,2,1,3,5,,3,3,6,5,,4.666666667,5,4,3,,4,4,1,
asp247,1,1,1,1,1,1,6,7,5,5,5.75,7,6,5,6,6,5,1,2,1,2.25,7,7,
cje46,3,4,3,3,3,3.2,6,6,5,5,5.5,4,4,4,4,4,1,1,1,1,1,4,3,
dag354,,2,2,2,3,2.25,,5,5,6,5.333333333,,4,6,4,4.666666667,,2,2,2,2,6,4,
mr636,,5,5,5,5,5,,6,5,6,5.666666667,,4,3,4,3.666666667,,4,3,4,3.666666667,6,5,
sz462,1,1,,,,1,6,4,,,5,7,7,,,7,1,2,,,1.5,5,3,
ums6,5,1,1,,1,2,5,3,4,,4,5,3,3,,3.666666667,2,2,1,,1.666666667,6,1,
ak978,,3,2,2,3,2.5,,5,4,6,5,,4,5,5,4.666666667,,5,5,5,5,7,7,
ath55,,2,3,3,3,2.75,,4,6,4,4.666666667,,5,6,5,5.333333333,,2,2,1,1.666666667,3,2,
cje44,,3,3,2,,2.666666667,,6,6,4,5.333333333,,5,5,6,5.333333333,,2,2,2,2,,,
esk85,,,2,2,1,1.666666667,,,6,5,5.5,,,6,5,5.5,,,1,1,1,5,5,
ii47,,2,,,,2,,4,,,4,,6,,,6,,3,,,3,,,
jls633,,3,7,,,5,,6,4,,5,,5,4,,4.5,,2,2,,2,,,
KL678,,5,5,5,,5,,2,5,3,3.333333333,,3,4,3,3.333333333,,2,1,1,1.333333333,,,
mc2629,,3,3,2,5,3.25,,5,6,2,4.333333333,,5,6,2,4.333333333,,1,1,2,1.333333333,2,2,
mii5,,3,2,2,3,2.5,,5,5,4,4.666666667,,6,2,4,4,,4,4,4,4,4,2,
pmm263,,3,,,4,3.5,,2,,,2,,5,,,5,,2,,,2,5,4,
sc2776,,1,2,2,,1.666666667,,6,6,7,6.333333333,,5,6,6,5.666666667,,1,1,2,1.333333333,5,6,
ss3598,,4,5,2,2,3.25,,7,5,4,5.333333333,,3,4,5,4,,1,3,2,2,6,3,
ss3659,,6,,,3,4.5,,5,,,5,,6,,,6,,3,,,3,5,5,
ug36,,,3,,,3,,,5,,5,,,6,,6,,,2,,2,4,3,
Wpa26,,5,,,,5,,3,,,3,,2,,,2,,1,,,1,3,3,
zz444,,,,3,,3,,,,2,2,,,,3,3,,,,1,1,3,1,
,,,,,,,,,,,,,,,,,,,,,,,,
