netid,stress1,stress2,stress3,stress4,stress5,excitement1,excitement2,excitement3,excitement4,confidence1,confidence2,confidence3,confidence4,time1,time2,time3,time4
aii4,3,1,2,,2,1,3,5,,3,6,5,,5,4,3,
asp247,1,1,1,1,1,6,7,5,5,7,6,5,6,5,1,2,1
cje46,3,4,3,3,3,6,6,5,5,4,4,4,4,1,1,1,1
dag354,,2,2,2,3,,5,5,6,,4,6,4,,2,2,2
mr636,,5,5,5,5,,6,5,6,,4,3,4,,4,3,4
sz462,1,1,,,,6,4,,,7,7,,,1,2,,
ums6,5,1,1,,1,5,3,4,,5,3,3,,2,2,1,
ak978,,3,2,2,3,,5,4,6,,4,5,5,,5,5,5
ath55,,2,3,3,3,,4,6,4,,5,6,5,,2,2,1
cje44,,3,3,2,,,6,6,4,,5,5,6,,2,2,2
esk85,,,2,2,1,,,6,5,,,6,5,,,1,1
ii47,,2,,,,,4,,,,6,,,,3,,
jls633,,3,7,,,,6,4,,,5,4,,,2,2,
KL678,,5,5,5,,,2,5,3,,3,4,3,,2,1,1
mc2629,,3,3,2,5,,5,6,2,,5,6,2,,1,1,2
mii5,,3,2,2,3,,5,5,4,,6,2,4,,4,4,4
pmm263,,3,,,4,,2,,,,5,,,,2,,
sc2776,,1,2,2,,,6,6,7,,5,6,6,,1,1,2
ss3598,,4,5,2,2,,7,5,4,,3,4,5,,1,3,2
ss3659,,6,,,3,,5,,,,6,,,,3,,
ug36,,,3,,,,,5,,,,6,,,,2,
Wpa26,,5,,,,,3,,,,2,,,,1,,
zz444,,,,3,,,,,2,,,,3,,,,1
