netid,stressavg,support,excitementavg,time,confidence,,,,,,,,,,,,,,
aii4,2,0,3,1.5,4.666666667,,,,,,,,,,,,,,
asp247,1,0.166666667,5.75,0.833333333,6,,,,,,,,,,,,,,
cje46,3.2,0.1,5.5,2.47,4,,,,,,,,,,,,,,
dag354,2.25,0.111111111,5.333333333,1.934722222,4.666666667,,,,,,,,,,,,,,
mr636,5,-0.142857143,5.666666667,3.971428571,3.666666667,,,,,,,,,,,,,,
sz462,1,0,5,0.666666667,7,,,,,,,,,,,,,,
ak978,2.5,0.375,5,2.05,4.666666667,,,,,,,,,,,,,,
ath55,2.75,0.111111111,4.666666667,2.359722222,5.333333333,,,,,,,,,,,,,,
cje44,2.666666667,0.25,5.333333333,1.868055556,5.333333333,,,,,,,,,,,,,,
esk85,1.666666667,-1,5.5,1.066666667,5.5,,,,,,,,,,,,,,
ii47,2,0,4,1.333333333,6,,,,,,,,,,,,,,
jls633,5,0,5,3.666666667,4.5,,,,,,,,,,,,,,
KL678,5,0.333333333,3.333333333,3.833333333,3.333333333,,,,,,,,,,,,,,
mc2629,3.25,0.333333333,4.333333333,2.779166667,4.333333333,,,,,,,,,,,,,,
mii5,2.5,0.222222222,4.666666667,2.019444444,4,,,,,,,,,,,,,,
pmm263,3.5,0,2,2.8125,5,,,,,,,,,,,,,,
sc2776,1.666666667,0,6.333333333,1.388888889,5.666666667,,,,,,,,,,,,,,
ss3598,3.25,0.222222222,5.333333333,2.106944444,4,,,,,,,,,,,,,,
ug36,3,0,5,2,6,,,,,,,,,,,,,,
Wpa26,5,0,3,3.333333333,2,,,,,,,,,,,,,,
zz444,3,1,2,2.5,3,,,,,,,,,,,,,,
