netid,stress,support,excitement,time,confidence
aii4,2,1,2,1.5,4.666666667
asp247,1,1,1,0.833333333,6
cje46,3.2,1,3.05,2.47,4
dag354,2.25,0.111111111,2.3125,1.934722222,4.666666667
mr636,5,-1,5,3.971428571,3.666666667
sz462,1,-0.5,1,0.666666667,7
ak978,2.5,0.375,2.375,2.05,4.666666667
ath55,2.75,0.111111111,2.9375,2.359722222,5.333333333
cje44,2.666666667,0.25,2.555555556,1.868055556,5.333333333
esk85,1.666666667,-1,1.666666667,1.066666667,5.5
ii47,2,0,2,1.333333333,6
jls633,5,0,6,3.666666667,4.5
KL678,5,0.333333333,5,3.833333333,3.333333333
mc2629,3.25,0.333333333,3.3125,2.779166667,4.333333333
mii5,2.5,0.222222222,2.375,2.019444444,4
pmm263,3.5,0,3.75,2.8125,5
sc2776,1.666666667,0,1.888888889,1.388888889,5.666666667
ss3598,3.25,0.222222222,3.0625,2.106944444,4
ug36,3,0,3,2,6
Wpa26,5,0,5,3.333333333,2
zz444,3,1,3,2.5,3
ums,2,1,1.333333333,1.444444444,3.666666667
