netid,stressavg,support,excitementavg,time,confidence,,,,,,,,,,,,,,
asp247,1,0.166666667,5.75,0.833333333,6,,,,,,,,,,,,,,
cje46,3.2,0.1,5.5,2.47,4,,,,,,,,,,,,,,
dag354,2.25,0.111111111,5.333333333,1.934722222,4.666666667,,,,,,,,,,,,,,
mr636,5,-0.142857143,5.666666667,3.971428571,3.666666667,,,,,,,,,,,,,,
ak978,2.5,0.375,5,2.05,4.666666667,,,,,,,,,,,,,,
ath55,2.75,0.111111111,4.666666667,2.359722222,5.333333333,,,,,,,,,,,,,,
cje44,2.666666667,0.25,5.333333333,1.868055556,5.333333333,,,,,,,,,,,,,,
KL678,5,0.333333333,3.333333333,3.833333333,3.333333333,,,,,,,,,,,,,,
mc2629,3.25,0.333333333,4.333333333,2.779166667,4.333333333,,,,,,,,,,,,,,
mii5,2.5,0.222222222,4.666666667,2.019444444,4,,,,,,,,,,,,,,
ss3598,3.25,0.222222222,5.333333333,2.106944444,4,,,,,,,,,,,,,,
